ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-05-02,560520.225,102527.03389952242,960595.6090819779,560520.225,560520.225,-5766.902209764376,-5766.902209764376,-5766.902209764376,-5766.902209764376,-5766.902209764376,-5766.902209764376,0.0,0.0,0.0,554753.3227902356
2014-05-05,559825.0759814323,109550.98720653878,978160.2346120727,559825.0759814323,559825.0759814323,-15568.900185037797,-15568.900185037797,-15568.900185037797,-15568.900185037797,-15568.900185037797,-15568.900185037797,0.0,0.0,0.0,544256.1757963946
2014-05-06,559593.3596419098,105349.54897843073,997815.3971642846,559593.3596419098,559593.3596419098,-878.1984086630847,-878.1984086630847,-878.1984086630847,-878.1984086630847,-878.1984086630847,-878.1984086630847,0.0,0.0,0.0,558715.1612332468
2014-05-07,559361.6433023872,90211.99870365874,965548.2504728663,559361.6433023872,559361.6433023872,-17854.214931970826,-17854.214931970826,-17854.214931970826,-17854.214931970826,-17854.214931970826,-17854.214931970826,0.0,0.0,0.0,541507.4283704164
2014-05-08,559129.9269628647,110838.25390746848,979089.7406322676,559129.9269628647,559129.9269628647,-17840.904000190436,-17840.904000190436,-17840.904000190436,-17840.904000190436,-17840.904000190436,-17840.904000190436,0.0,0.0,0.0,541289.0229626743
2014-05-09,558898.2106233421,113954.12654355094,973356.8574371921,558898.2106233421,558898.2106233421,-5766.902210363553,-5766.902210363553,-5766.902210363553,-5766.902210363553,-5766.902210363553,-5766.902210363553,0.0,0.0,0.0,553131.3084129785
2014-05-12,558203.0616047746,91514.43951866322,972038.2974173754,558203.0616047746,558203.0616047746,-15568.900185069813,-15568.900185069813,-15568.900185069813,-15568.900185069813,-15568.900185069813,-15568.900185069813,0.0,0.0,0.0,542634.1614197048
2014-05-13,557971.3452652519,145335.80003324742,966653.5003225029,557971.3452652519,557971.3452652519,-878.1984087226311,-878.1984087226311,-878.1984087226311,-878.1984087226311,-878.1984087226311,-878.1984087226311,0.0,0.0,0.0,557093.1468565293
2014-05-14,557739.6289257294,117631.53035393983,983200.0506219767,557739.6289257294,557739.6289257294,-17854.21493136677,-17854.21493136677,-17854.21493136677,-17854.21493136677,-17854.21493136677,-17854.21493136677,0.0,0.0,0.0,539885.4139943627
2014-05-15,557507.9125862068,116009.41880665395,1017326.1028190344,557507.9125862068,557507.9125862068,-17840.90400003674,-17840.90400003674,-17840.90400003674,-17840.90400003674,-17840.90400003674,-17840.90400003674,0.0,0.0,0.0,539667.00858617
2014-05-16,557276.1963467222,101643.73820394612,974646.7629771136,557276.1963467222,557276.1963467222,-5766.902209997601,-5766.902209997601,-5766.902209997601,-5766.902209997601,-5766.902209997601,-5766.902209997601,0.0,0.0,0.0,551509.2941367246
